id,name,description,days,hours,complexity,priority,done
1,Module Basics,"Moodle activity module skeleton, version.php, lib.php, basic callbacks",0.5,3,Low,High,Yes
2,Database Architecture,"8 tables (projetvet, form_cat, form_field, form_entry, form_data, field_data, thesis, mobility), EAV pattern implementation, relationships and indexes",0.5,3,High,High,Yes
3,Persistent Classes,"7 persistent classes (form_cat, form_field, form_entry, form_data, field_data, thesis, mobility) with validation and CRUD operations",0.8,5,Medium,High,Yes
4,Activities API,"Central API layer: get_activity_structure(), get_entry(), get_activity_list(), create_or_update_entry(), caching strategy",0.8,5,High,High,Yes
5,JSON-Driven Form System,"Dynamic form generation from JSON configuration, 3 categories (Informations générales, Acceptation, Compte rendu), 20 fields with metadata",1,6,High,High,Yes
6,Multi-Stage Workflow,"Status progression (DRAFT→SUBMITTED→VALIDATED→COMPLETED), capability-based field access, automatic status increment",1,6,High,High,Yes
7,Custom TagSelect Element,"Custom QuickForm element extending autocomplete, modal popup UI, search/filter, grouped options, badge display, freeze handling",1,6,High,High,Yes
8,Switch Element,"Custom toggle switch form element (legacy, now using hidden field)",0.3,2,Low,Low,Yes
9,Dynamic Activity List,"Configurable columns via listorder field (0=hidden, 1-N=order), dynamic table rendering, 7 default columns",0.5,3,Medium,High,Yes
10,Form Templates & UI,"6 Mustache templates (activity_list, student_list, student_info, tagselect_badge, form elements), responsive design",0.5,3,Medium,Medium,Yes
11,JavaScript/AJAX,"4 AMD modules (activity_entry_form.js, tagselect.js, student_info_forms.js, repository.js), modal dialogs, AJAX operations",0.8,5,Medium,High,Yes
12,Thesis Form,"Simple form for thesis subject management",0.3,2,Low,Medium,Yes
13,Mobility Form,"Form for international mobility tracking (Erasmus, FMP)",0.3,2,Low,Medium,Yes
14,JSON Import System,"CLI script to import field structure from JSON, handles French text encoding, creates categories and fields",0.5,3,Medium,Medium,Yes
15,Testing & Bug Fixes,"Frozen field data preservation, JSON encoding, form submission debugging, workflow testing",0.8,5,Medium,High,Yes
16,File Uploads,"Add filemanager element support, file storage in Moodle file system, file serving callbacks, cleanup on delete",0.5,3,Low,High,No
17,Competency Achievement Tracker,"Custom element extending tagselect, achievement state tracking, date tracking, progress dashboard, visual indicators",1.5,9,High,High,No
18,Meeting Check-ins System,"Complete check-in system reusing activity architecture (4 tables, persistent classes, API, forms, list view, workflow)",2,12,High,Medium,No
19,Graph Integration,"Chart.js integration, aggregate queries (hours by category, credits by year, competency progress), caching, export",1,6,Medium,Medium,No
20,Status Navigation Widget,"Visual progress indicator (stepper/progress bar), shows current stage, completed stages, who can act",0.5,3,Low,Low,No
21,Notifications System,"Moodle message_send API, 5 notification types (submitted, approved, rejected, check-in required, check-in submitted), email templates, digest option",1,6,Medium,High,No
22,Backup and Restore,"Complete backup/restore implementation for all 8 tables, user ID mapping, file handling, extensive testing",2,12,High,High,No
23,Privacy Provider,"Full GDPR implementation (metadata provider, data export, data deletion), context handling, comprehensive testing",1,6,Medium,High,No
24,Unit Tests,"Complete test suite covering persistent classes, API methods, forms, capabilities, events, 80%+ coverage",2,12,Medium,High,No
25,Behat Tests,"Feature files for student/teacher/manager workflows, custom step definitions, accessibility testing",1.5,9,Medium,Medium,No
26,Code Cleanup & CI,"Fix phpcs/phpmd/phpdoc violations, jshint/eslint fixes, security review, performance optimization, accessibility audit",1,6,Low,High,No
